Hotel Name,Page,Review Number,Rating,Review Text,Sentiment
"Domes Miramare, A Luxury Collection ResortIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",1,1,,My wife and I spent a week at Domes Miramare in September where we experienced changeable weather as we had 2 days of rain and thunderstorms.We liked the location as the hotel is situated on the beach and the room we stayed had a great sea-view. The hotel is divided in two with one part of the hotel on the other side of a main road which is accessible by an underground walkway. Really glad we did not stay here.Checking in was quick and easy and once done we were then escorted to our room on the first floor and must say the room was very good but found after the first night it was not cleaned everyday and fresh water was not replenished as expected. We had to ask the concierge to get housekeeping to deliver fresh towels etc which is not what you’d expect for a 5star resort.Breakfast was very good as it was a buffet and best of all it had an egg station where you could request your eggs to be cooked anyway you like. The omelettes were excellent.We found the waiting staff to be forgetful as we would ask for tea which arrived ages after our order.The beach has no sand as it is stoney and feels man made which is not easy to walk on - recommend shoes should be worn especially for swimming. We really liked the sea temperature and on days that it did not rain we loved the calm sea.Sun-beds are comfortable and have umbrellas that are great if you need shade. You can order drinks and snacks from your sun-bed but beware of the wait times as it took 45mins to an hour for a waiter to arrive.We were half board so we tried the restaurant “1962” which we looked forward to dining in as the location is excellent right beside the sea but we were disappointed with the menu as the choice of food was not great.We tried the restaurant across the road in the other part of the hotel called Raw which was Mediterranean/Asia. My wife had chicken which was nice and I had Teriyaki Salmon with luke warm rice which was ok. The view over the bay was nice but ruined by the close proximity to the road.We ate out 3 nights in the village nearby and would recommend Tassos as the hosts were very friendly and cooked authentic Greek meals.Overall we would rate the hotel 4stars because of the food choice and poor quality beach surface.,positive
"Domes Miramare, A Luxury Collection ResortIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",1,2,,"An excellent stay, a lovely and quiet resort by the sea. The rooms was spacious with a lovely sea view.Breakfast was a great spread and the staff were super helpful.I agree with other reviewers, water bottles not being refreshed or trash cleared from the room.Overall a relaxing and refreshing stay",positive
"Domes Miramare, A Luxury Collection ResortIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",1,3,,"The entire hotel is perfectly air-conditioned. The superior room is beautiful with a wonderful view of the sea and greenery in front of the hotel. It is commendable how much this hotel cares for the environment and how it maintains greenery and flowers. The staff is extremely professional, but at the same time very friendly. Everyone from the maids to the entire restaurant staff who diligently but unobtrusively take away used plates throughout the meal. The reception also deserves all the praise. The employees are very kind and solve everything with a smile so that the guest feels really welcome right from the moment he enters the hotel. The wellness center is excellent. The receptionist at the wellness center is also very kind. It can be seen that this resort is the result of great coordination and hard work of all hotel services.",positive
"Domes Miramare, A Luxury Collection ResortIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",1,4,,"This is a lovely hotel with friendly staff and enjoyable food.The hotel and rooms are well appointed, and there certainly is a luxury feel to the hotel.Dinner in the main restaurant was good.Couple of negative things to say, the AC in the rooms are fixed at 23 degrees and cannot be overridden by you. Also, they turn off on a timer through the day and night, so if you don’t like a room to be warm through the night you’ll find yourself being woken by this and having to turn it back on. You can ask for the temperature to be reduced, which I did so twice, but neither time did it happen. On checkout they say it’s ’for the environment’, but in reality we all know it’s to save money, which is not what I’d expect from this grade of hotel given the nightly rates being charged.Regards the sun loungers round the pool and beach, sadly it’s the typical mentality that people get up at the crack of dawn and ‘reserve’ them by placing towels and personal items on them, with no intention of using them until later in the day, if at all. This kind of thing should not be happening and there was no sign of staff monitoring this.Around the pool and beach there was little to no staff either helping with loungers and towels or providing proactive service for drinks or food. So getting anything promptly was a little tricky.When you did interact with staff, they were however very nice and happy to help.Regards the location, there is little to nothing surrounding the hotel, except for a nice little taverna and small supermarket in the adjacent village (5 min walk max).",positive
"Domes Miramare, A Luxury Collection ResortIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",1,5,,"We were not quite sure what to expect given the disparity/polarisation of the previous reviews, but here is our take on our stay, for what it is worth!We had a very relaxing & enjoyable week away.We requested a sea facing, ground floor room, in the quiet end of the old beachfront part of the hotel, and that's exactly what we received.We arrived early and could not check in for 90 minutes, but we enjoyed a drink or two on the terrace until our room was ready.The room was very clean, well decorated, quiet and the bed was huuuge! Bedlinen was lovely and soft. We had no housekeeping issues, and our room was cleaned daily by very friendly staff. We were offered plenty of in room bottled water.We were on a bed and breakfast basis. Breakfast was very varied, and very enjoyable. Coffee did take a little while to arrive, but alternatively, there is a machine where you can get it yourself! It gets busiest at between 10 and 10.30am, so sometimes you have to wait for a table, especially indoors out of the heat. Most of the staff were very chatty and helpful. A smile often helps to get the best out of people.We never had a problem getting a sun lounger. There was a day when there was a towel shortage, but we simply used the ones from our room until more arrived. We didn't make a fuss about it.We had no major issues with service. Yes, it was a bit slow at times, but we ate outside the hotel every night, and service was slow absolutely everywhere! Maybe it's the heat (40deg) or simply a different pace of life.The spa was lovely- I had a very good treatment from the lovely Dora. We were allowed private use of the pool and spa facilities before my massage, which was an unexpected treat.I have never noticed this anywhere in the world before, but the hotel lobby smelt amazing, as did the swanky ladies loo!We used the panoramic pool in the ""new building"" once, but found it very hot up there surrounded by white concrete, and retreated back to the beach for some breeze.It seemed to us that the guests who appeared the most disgruntled were on some form of inclusive food & drink basis, which we weren't.On our last day, a member of staff approached us on the beach to ask if we had any quibbles with our stay. We genuinely had nothing major.We ate out every night at a different restaurant. Notable ones were Caldera (beachfront Moraitika), Rose Garden Gastronomy, Village Taverna and the Tassos Village Grill. Pesce on the main road had great fresh fish.We caught the public bus (air conditioned coach) into Corfu Old Town, which was exceptional value at 2 euros each way.In essence, we had a great stay in the sunshine, and would definitely return.",positive
"Domes Miramare, A Luxury Collection ResortIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",1,6,,"Great check in experience, we were shown to our room which was a lovely room but we were really disappointed as we upgraded to a sea view room and overgrown bushes prevented us from the sea view. When we raised the issue we were offered a move however the room wouldn’t be available until 2 days into our holiday.We stayed at the bottom part of the hotel that was a great location by the sea, pool, bar and restaurant. The service was great around the pool and beach, sun loungers always seemed to be available and if they weren’t the staff would address this. The sea was beautiful we are normally pool people but found ourselves sat at the beach everyday.We did room and breakfast and the breakfast was great with a good choice of food and drinks. However service was a bit inconsistent some days you were asked if you wanted hot or cold drinks other days not, all were available for self service tho. Very minor niggle everyday we had to ask for a tea spoon for our hot drink and noticed other guests asking also (there seemed to be a shortage) was a bit annoying everyday having to ask everyday.We were disappointed to find the RAW bar was closed as we were looking forward to having evening drinks and food there as it seemed to be a lovely location and it was advertised online as a place to relax have an evening drink with a nice dj vibe. The restaurant is now located at the top part of the hotel under a different name but not for drinks only.We were also looking forward to having our anniversary dinner in the fine dining restaurant but were told the full menu wasn’t available as it had only just opened, we initially booked but decided to cancel.We asked at reception what was on entertainment wise and was told they wouldn’t know for another few days but each night we seemed to miss out on entertainment as we didn’t know it was on.Harris at reception was great and booked restaurants and taxis for us.Restaurants I’d recommend.Archontiko, beautiful view taxi 25 each way 10 minutesBella vista walking distanceOi Oraies restaurant Benitses (next town) 25 taxi each wayVillage taverna walking distanceRose garden walking distanceI would recommend Corfu old town, we got the green bus 2 euro each way or taxi is 55 euro each way it’s such a beautiful place.We walked along the beach some days for lunch or a drink this is just a 10 minute walk.We also walked up further to the Mesongi river and got a rowing boat over the other side where there are also restaurants and a few bars.Make sure you get up early to catch the sunrise.It seemed the hotel is going through some changes and there are a few teething problems which you would expect to have been resolved before the season started, however we had a great holiday and would defiantly return, we would like to try more of the Domes hotels in the future.",positive
"Domes Miramare, A Luxury Collection ResortIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",1,7,,"During my recent 7-night stay at a hotel, I had some disappointments regarding the dining experience. While the hotel had positive aspects, the issues I encountered with the food and service overshadowed the good parts.One major problem I faced was the limited choices on the dinner menu. The options available were quite basic and lacked variety. If you wanted something different, you had to pay extra, which made dining repetitive. This even led my partner to order the same dish multiple times, which was quite underwhelming. On the other hand, guests who didn't opt for the meal plan had more diverse options. This made me feel like I wasn't getting my money's worth from the meal plan I paid for.Furthermore, the lack of free water during dinner service was another letdown. The only water choices were either sparkling or still, both costing an extra €6 per serving. This unexpected expense was disappointing, and it would have been better if they were more upfront about it. This gave me the impression that the hotel was more focused on making money than creating a comfortable experience.The service at the table was also subpar. The supposed complimentary bread and olives took an unusually long 45-50 minutes to arrive before dinner. This was frustrating, especially since the gap between the starter and main course could be over 30 minutes, leaving me hungry. The staff seemed inattentive, and some managers were inconsistent in their greetings and assistance, which made me feel unfairly treated.Despite claiming to provide a luxury experience, the hotel seemed to be cutting corners and saving costs wherever they could. My overall impression of the dining experience was far from positive, and I wouldn't recommend paying for dinner in advance.It was clear that the management team needed better training in handling complaints. I raised my concerns multiple times about the limited menu, added costs, and table service, but they weren't properly addressed. Some managers didn't seem to know how to interact with guests, being selective in their attention. This unequal treatment left a negative impression.In conclusion, although the hotel had its merits, the dining experience was lacking. The limited menu choices, added water costs, inadequate table service, and uneven treatment from some staff members made me feel shortchanged. It's evident that the hotel needs to improve its menu variety, be upfront about extra charges, and enhance its table service. Additionally, staff training is needed to ensure all guests are treated equally and complaints are handled effectively. Until these changes are made, I would advise against prepaying for dinner at this hotel.",positive
"Domes Miramare, A Luxury Collection ResortIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",1,8,,"Just back from our 6 nights stay at the Domes Miramare and we are still thrilled by our incredibly positive experience. This was our 3rd stay at the brand ( previous amazing stays at Domes of Elounda & Domes Noruz both in Crete )The rooms located right on a private beach, gardening having the Olive tree motive, low-key architecture blending with the environment - is excellent, but what made our stay truly outstanding was the level of warm hospitality and personal service from all the staff we interacted with. They really make you feel welcome, know and greet you by name, having a ""can do "" attitude"", and always with a smile.Being return customers at Domes resorts we were delighted to be recognized by familiar faces we remembered from our previous stay at Domes of Elounda. We felt like returning back home which is very pleasant !We stayed on a half board basis which means breakfast: outstanding selection of everything you can think of and dinner: three course meal with ‘dish of the day’ option. Food quality was literally excellent .Again, great staff there especially the manager (forgot to his name, sorry)who is excellent at his job: friendly, welcoming, helpful and remembered us the following day when we bumped into him around the grounds.Our room was very good in a great spot. Literally a 10 second walk to the beach and no bumrush for sun loungers.We have been upgraded since we are repeaters and we are very very grateful for that !A huge THANK YOU to all the staff for their efforts ! ❤️",positive
"Domes Miramare, A Luxury Collection ResortIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",1,9,,"Domes Miramare is a true Mediterranean gem. Impeccable service, stunning sea views, and elegant design create an unforgettable experience. A definition of luxury.The staff at Domes Miramare deserves special recognition. Their friendliness professionalism, warmth, and genuine hospitality left a lasting impression. From the concierge who went above and beyond to recommend local hidden gems to the attentive housekeeping staff who kept our room immaculate, their dedication to guest satisfaction was evident in every interaction.The resort itself was a haven of tranquility and luxury. The beautifully appointed rooms offered breathtaking views of the Mediterranean, and the private beach was a slice of paradise. The dining options were exceptional, with each meal a culinary journey highlighting the finest Mediterranean flavors.We can't express our gratitude enough to the entire team at Domes Miramare. They transformed our vacation into an unforgettable experience. We're already planning our returnThank you for creating memories that will last a lifetime!!!",positive
"Domes Miramare, A Luxury Collection ResortIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",1,10,,"This five star hotel certainly deserves a five star review. We stayed for a luxurious 10 days and felt so relaxed and pampered. The large pool perched high on the hilltop   is spotlessly clean with panoramic views. The sunbeds are plentiful and very comfortable, and the bar service is discreet yet attentive.The breakfast buffet was the highlight of my day: delicious fresh fruit and omelettes made to order; freshly pressed smoothies and plentiful coffee. Evening dinners were elegant and well presented. The quiet location and stunning scenery are breathtaking. All the staff are hardworking, polite, friendly and professional. Special mention must go to Francoise who manages this exquisite hotel so diligently. No problem is too small for her attention and she resolved any issues we had with charm and personal dedication.We can’t wait to return next year to this fabulous hotel.",positive
